L,Cmps,QPS,Recall,QPS_no_filter
10,121.29,3657.05,0.5885,8198.41
20,154.472,5241.8,0.6935,25442.4
50,213.59,4477.89,0.7455,13917.9
100,286.956,3713.33,0.7585,8486.8
150,357.042,3211.92,0.7605,6255.07
200,421.358,2894.07,0.7625,5152.93
250,479.733,2645.08,0.7625,4413.25
300,532.923,2445.92,0.763,3885.4
400,588.227,2132.88,0.7635,3150.8
500,642.471,1908.31,0.7635,2684.17
600,694.151,1735.78,0.7635,2354.93
700,742.643,1599.73,0.7635,2111.33
800,788.006,1527.12,0.7635,1986.65
1000,833.057,1348.79,0.7635,1695.1
1200,876.48,1212.2,0.7635,1484.83
