L,Cmps,QPS,Recall,QPS_no_filter
10,141.23,2142.43,0.678,3339.29
20,180.072,2138.22,0.7505,3329.06
50,248.782,2887.14,0.79,5584.44
100,330.196,2882.48,0.803,5567.02
150,406.681,2370.43,0.806,3928.21
200,476.288,2033.49,0.807,3081.95
250,539.028,1917.4,0.8075,2822.91
300,595.842,2097.27,0.8075,3230.86
400,654.063,1828.52,0.809,2634.38
500,710.508,1620.61,0.81,2223.43
600,763.743,1494.78,0.81,1993.23
700,813.465,1369.01,0.81,1775.7
800,859.634,1258.46,0.81,1594.06
1000,904.947,1100.59,0.81,1348.97
1200,948.181,981.162,0.81,1173.84
