L,Cmps,QPS,Recall,QPS_no_filter
10,164.25,6631.31,0.7035,10664.4
20,206.27,6593.26,0.7735,10566.3
50,281.677,5040.72,0.807,7074.4
100,371.473,4477.29,0.8125,6012.52
150,454.703,3602.89,0.815,4534.63
200,529.313,3041.64,0.8165,3679.99
250,595.929,2664.57,0.8165,3142.04
300,655.849,2355.74,0.817,2721.35
400,716.297,1959.09,0.818,2205.51
500,773.961,1705.19,0.818,1888.88
600,827.739,1467.06,0.818,1601.01
700,877.404,1342.62,0.818,1453.94
800,923.192,1179.29,0.818,1264.32
1000,967.541,1063.5,0.818,1132.17
1200,1009.37,912.817,0.818,962.946
