L,Cmps,QPS,Recall,QPS_no_filter
10,89.895,14501.1,0.5055,46772.3
20,114.593,12942.4,0.6205,33686.5
50,161.332,9947.71,0.681,18887.3
100,221.178,7438.56,0.7005,11513.5
150,279.358,6195.02,0.7065,8784.25
200,333.802,5255.39,0.708,7007.68
250,384.289,4614.78,0.7095,5913.13
300,431.089,4173.54,0.71,5207.66
400,480.594,3519.02,0.7115,4226.72
500,529.815,3065.6,0.7115,3589.11
600,577.519,2599.47,0.712,2966.35
700,622.972,2372.34,0.712,2674.2
800,666.119,2182.67,0.712,2435.61
1000,709.984,1938.59,0.712,2135.57
1200,752.922,1777.18,0.712,1941.34
