L,Cmps,QPS,Recall,QPS_no_filter
10,90.005,5870.63,0.53,13438.3
20,116.19,5681.03,0.6685,12484.5
50,164.543,5371.98,0.729,11083.3
100,225.795,4520.99,0.746,7983.07
150,285.118,3829.65,0.753,6053.43
200,340.2,3620.43,0.755,5546.77
250,391.124,3065.64,0.7575,4342.72
300,438.376,2974.6,0.759,4162.25
400,488.562,2523.82,0.7605,3330
500,538.51,2266.67,0.761,2896.45
600,586.944,2107.81,0.761,2642.01
700,633.234,2228.76,0.761,2834.83
800,677.11,2078.83,0.761,2596.63
1000,721.856,1819.07,0.761,2203.59
1200,765.758,1643.75,0.761,1951.45
