====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        12636.5        5797.72        152.3    0.6955
20        12566.8        5783.01        190.637    0.7575
50        8354.94        4694.06        259.78    0.7945
100        5412.98        3596        341.82    0.8035
150        4352.36        3094.96        418.967    0.8055
200        3574.94        2680.46        489.008    0.8065
250        3451.48        2610.44        552.222    0.8065
300        2943.87        2309.28        609.61    0.8065
400        2440.63        1987.77        668.483    0.807
500        2106.39        1760.28        725.452    0.807
600        1851.05        1578.33        779.176    0.807
700        1655.42        1433.85        829.317    0.807
800        1504.81        1319.47        875.802    0.807
1000        1283.05        1145.82        921.255    0.807
1200        1153.44        1041.32        964.559    0.807
