L,Cmps,QPS,Recall,QPS_no_filter
10,152.3,5797.72,0.6955,12636.5
20,190.637,5783.01,0.7575,12566.8
50,259.78,4694.06,0.7945,8354.94
100,341.82,3596,0.8035,5412.98
150,418.967,3094.96,0.8055,4352.36
200,489.008,2680.46,0.8065,3574.94
250,552.222,2610.44,0.8065,3451.48
300,609.61,2309.28,0.8065,2943.87
400,668.483,1987.77,0.807,2440.63
500,725.452,1760.28,0.807,2106.39
600,779.176,1578.33,0.807,1851.05
700,829.317,1433.85,0.807,1655.42
800,875.802,1319.47,0.807,1504.81
1000,921.255,1145.82,0.807,1283.05
1200,964.559,1041.32,0.807,1153.44
