====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        42266.4        6167.14        99.775    0.525
20        31278.6        5866.45        125.485    0.637
50        17536.2        5114.69        173.362    0.7095
100        10758.5        4320.77        234.87    0.7315
150        8149.66        3828.56        293.997    0.735
200        6832        3510.49        348.988    0.736
250        5878.74        3240.5        399.738    0.7385
300        5212.97        3027.37        446.94    0.741
400        4268.58        2682.69        496.923    0.742
500        3679.5        2437.44        546.566    0.7425
600        3248.23        2240.39        594.53    0.7425
700        2885.13        2061.45        640.225    0.743
800        2610.52        1917.34        683.431    0.743
1000        2210.9        1692.63        727.236    0.743
1200        1843.67        1468.68        770.075    0.743
