L,Cmps,QPS,Recall,QPS_no_filter
10,106.12,2284.14,0.5435,4227.96
20,135.39,3829.37,0.652,16705.7
50,188.81,3801.34,0.7175,16185.2
100,256.103,3303.88,0.7335,9862.45
150,320.595,2980.45,0.739,7449.39
200,380.449,2742.09,0.7415,6119.77
250,434.941,2549.88,0.742,5238.49
300,485.22,2406.25,0.7435,4666.25
400,537.985,2151.58,0.745,3795.13
500,590.155,1966.03,0.745,3253.52
600,640.219,1813.47,0.745,2855.92
700,687.6,1688.02,0.745,2556.69
800,732.11,1590.47,0.745,2339.37
1000,776.874,1419.68,0.745,1987.66
1200,820.429,1292.26,0.745,1746.54
