====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        3285.41        1986.87        135.485    0.633
20        5408.03        2605.25        168.97    0.705
50        8364.35        3139.87        229.132    0.758
100        6160.26        2768.09        303.229    0.774
150        6060.78        2747.82        374.224    0.777
200        5035        2515.48        439.417    0.781
250        4354.35        2333.26        498.64    0.783
300        3832.74        2174.67        552.537    0.783
400        3120.52        1925.34        608.567    0.784
500        2653.44        1736.72        663.59    0.784
600        2320.85        1587.79        715.866    0.784
700        2072.71        1467.59        764.962    0.784
800        1881.45        1369.05        810.843    0.784
1000        1597.1        1212.03        856.456    0.784
1200        1408.12        1100        900.406    0.7845
