L,Cmps,QPS,Recall,QPS_no_filter
10,141.005,5934.01,0.6735,12246.7
20,179.218,7420.53,0.7445,20878.6
50,248.122,5639.67,0.786,11055.8
100,329.951,4302.27,0.795,6869.55
150,406.855,3589.43,0.797,5215.66
200,476.044,3107.38,0.797,4256.23
250,538.395,2770.73,0.798,3648.97
300,594.763,2506.64,0.7985,3204.35
400,652.687,2126.44,0.799,2608.21
500,708.609,1870.15,0.799,2232.89
600,761.272,1711.04,0.799,2009.75
700,810.327,1546.59,0.799,1786.61
800,855.816,1438.48,0.799,1643.89
1000,900.553,1258.22,0.799,1412.62
1200,943.298,985.265,0.799,1077.48
