L,Cmps,QPS,Recall,QPS_no_filter
10,109.005,3658.91,0.5585,12751
20,141.863,3845.27,0.684,15342.1
50,200.728,3276.75,0.7385,9066.12
100,273.255,2816.42,0.75,6242.96
150,342.675,2628.98,0.752,5390.96
200,406.375,2273.45,0.7545,4081.97
250,463.981,2196.86,0.7545,3841.5
300,516.574,1941.02,0.755,3121.93
400,571.347,1971.94,0.755,3202.71
500,625.187,1844.41,0.756,2879.36
600,676.512,1545.62,0.7565,2211.85
700,724.78,1562.26,0.7565,2246.08
800,769.988,1465.48,0.7565,2051.33
1000,815.026,1297.81,0.7565,1737.17
1200,858.427,1163.43,0.7565,1504.56
