L,Cmps,QPS,Recall,QPS_no_filter
10,37.765,1531.77,0.301,3452.09
20,49.5475,1605.6,0.4355,3851.18
50,71.56,1931.64,0.543,6470.99
100,98.9313,2112.38,0.5775,9071.12
150,124.846,2051.62,0.5925,8047.71
200,148.498,1970.67,0.598,6930.96
250,169.811,2164.27,0.6005,10112.2
300,189.038,2102.19,0.6025,8886.14
400,208.596,1995.81,0.604,7252.13
500,227.242,1907.92,0.604,6212.31
600,244.47,1843.22,0.6045,5575.09
700,260.245,1783.52,0.6055,5062.53
800,274.616,1731.26,0.6055,4662.98
1000,287.821,1684.61,0.6055,4339.35
1200,299.636,1659.21,0.606,4174.75
