====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        49142.4        8123.85        61.685    0.47
20        39769.6        7819.21        77.71    0.6005
50        20868.2        6637.24        108.663    0.7025
100        12448.6        5462.22        146.401    0.738
150        9442.8        4792.81        181.36    0.748
200        7609.82        4270.69        212.828    0.751
250        6510.82        3901.13        240.678    0.754
300        5676.15        3585.24        265.354    0.756
400        4636.72        3140.55        289.562    0.757
500        3986.83        2828.28        312.2    0.757
600        3565.37        2609.46        332.731    0.7575
700        3281.7        2454.19        351.2    0.7575
800        3067.82        2332.58        367.769    0.7575
1000        2732.69        2133.63        383.059    0.7575
1200        2693.93        2109.93        396.638    0.7575
