====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        7329.5        3075.59        87.155    0.666
20        26776.7        4423.76        109.06    0.772
50        14288.7        3865.61        148.668    0.8405
100        8560.59        3273.1        195.309    0.862
150        6394.24        2897.74        237.111    0.8685
200        5052.04        2586.35        273.427    0.8715
250        4263.85        2362.75        304.971    0.8755
300        3687.66        2174.48        332.488    0.8755
400        2947.77        1894.13        358.756    0.876
500        2490.56        1694.28        382.693    0.876
600        2194.02        1551.61        404.174    0.876
700        1996.43        1450.11        423.217    0.876
800        1852.17        1372.47        440.067    0.876
1000        1658.4        1263.11        455.302    0.876
1200        1591.51        1223.93        468.78    0.876
