L,Cmps,QPS,Recall,QPS_no_filter
10,44.54,1617.21,0.382,2830.98
20,58.5225,2941.52,0.5295,13361.1
50,83.9783,2874.27,0.632,12077.4
100,115.171,3067.24,0.6665,16417.7
150,144.777,2874.84,0.6745,12087.5
200,171.557,2729.14,0.681,9871.62
250,195.489,2602.4,0.6835,8393.14
300,216.971,2474.23,0.685,7191.63
400,238.614,2285.38,0.687,5798.8
500,258.98,2142.36,0.6875,4958.86
600,277.801,2040.96,0.6875,4447.41
700,294.903,1958.07,0.6875,4071.82
800,310.354,1884.04,0.688,3764.22
1000,324.562,1824.28,0.688,3533.01
1200,337.221,1807.34,0.6885,3469.99
