L,Cmps,QPS,Recall,QPS_no_filter
10,87.155,3075.59,0.666,7329.5
20,109.06,4423.76,0.772,26776.7
50,148.668,3865.61,0.8405,14288.7
100,195.309,3273.1,0.862,8560.59
150,237.111,2897.74,0.8685,6394.24
200,273.427,2586.35,0.8715,5052.04
250,304.971,2362.75,0.8755,4263.85
300,332.488,2174.48,0.8755,3687.66
400,358.756,1894.13,0.876,2947.77
500,382.693,1694.28,0.876,2490.56
600,404.174,1551.61,0.876,2194.02
700,423.217,1450.11,0.876,1996.43
800,440.067,1372.47,0.876,1852.17
1000,455.302,1263.11,0.876,1658.4
1200,468.78,1223.93,0.876,1591.51
