L,Cmps,QPS,Recall,QPS_no_filter
10,86.87,2232.44,0.624,3855.57
20,108.468,2152,0.7345,3621.74
50,146.177,3146.74,0.8135,7739.07
100,190.706,3302.19,0.836,8752.36
150,230.994,2267.19,0.843,3960.38
200,265.976,2646.24,0.8455,5282.07
250,296.52,2449.84,0.8455,4553.43
300,322.998,2265.03,0.846,3953.81
400,348.329,1982.73,0.846,3166.76
500,371.442,1783.25,0.846,2686.73
600,392.131,1637.48,0.846,2368.99
700,410.476,1530.13,0.846,2150.7
800,426.797,1453.84,0.846,2002.96
1000,441.688,1338.13,0.846,1789.76
1200,454.877,1309,0.846,1738.02
