L,Cmps,QPS,Recall,QPS_no_filter
10,61.685,8123.85,0.47,49142.4
20,77.71,7819.21,0.6005,39769.6
50,108.663,6637.24,0.7025,20868.2
100,146.401,5462.22,0.738,12448.6
150,181.36,4792.81,0.748,9442.8
200,212.828,4270.69,0.751,7609.82
250,240.678,3901.13,0.754,6510.82
300,265.354,3585.24,0.756,5676.15
400,289.562,3140.55,0.757,4636.72
500,312.2,2828.28,0.757,3986.83
600,332.731,2609.46,0.7575,3565.37
700,351.2,2454.19,0.7575,3281.7
800,367.769,2332.58,0.7575,3067.82
1000,383.059,2133.63,0.7575,2732.69
1200,396.638,2109.93,0.7575,2693.93
