L,Cmps,QPS,Recall,QPS_no_filter
10,60.485,2863.73,0.498,6485.3
20,78.785,2530.81,0.631,4996.76
50,112.075,3231.86,0.707,8739.77
100,151.679,3267.23,0.7425,9003.36
150,187.974,3215.33,0.748,8619.97
200,220.111,2967.22,0.755,7041.5
250,248.397,2772.62,0.7575,6036.1
300,273.308,2597.03,0.758,5261.62
400,297.53,2331.41,0.7585,4274.89
500,320.054,2126.71,0.7585,3633.59
600,340.466,1973.13,0.7585,3207.08
700,358.807,1861.76,0.7585,2922.91
800,375.19,1772.83,0.7585,2709.51
1000,390.261,1640.7,0.759,2412.57
1200,403.659,1613.51,0.759,2354.24
