L,Cmps,QPS,Recall,QPS_no_filter
10,95.455,5473.45,0.7055,11241
20,121,5611.82,0.7965,11840.6
50,164.96,4573.62,0.8525,8006.08
100,215.178,4236.2,0.8745,7026.4
150,259.751,3473.54,0.8775,5150.65
200,297.795,2982.62,0.8815,4140.17
250,330.517,2633.1,0.882,3496.01
300,358.632,2363.03,0.883,3035.41
400,385.069,1979.49,0.8835,2430.49
500,408.924,1715.37,0.8835,2044.05
600,430.188,1530.16,0.8835,1786.4
700,448.897,1413.67,0.8835,1629.62
800,465.361,1324.18,0.8835,1511.84
1000,480.218,1185.31,0.8835,1333.47
1200,493.333,1180.5,0.8835,1327.4
