L,Cmps,QPS,Recall,QPS_no_filter
10,40.705,2272.23,0.318,5572.42
20,52.28,3074.08,0.4495,15465.4
50,74.3067,2938.02,0.5345,12543.2
100,101.791,2814.88,0.5615,10569.3
150,127.85,2629.53,0.572,8357.35
200,151.613,2247.34,0.5775,5425.06
250,173.079,2781.64,0.583,10115.3
300,192.368,2690.67,0.5865,9007.8
400,211.893,2531.29,0.587,7439.61
500,230.386,2406.21,0.587,6453.67
600,247.502,2306.35,0.5875,5782.18
700,263.21,2216.41,0.588,5248.26
800,277.483,2139.22,0.5885,4835.13
1000,290.714,2068.98,0.5885,4490.55
1200,302.534,2013.53,0.589,4237.29
