L,Cmps,QPS,Recall,QPS_no_filter
10,78.305,2742.16,0.6395,6445.98
20,100.635,3235.46,0.7525,10046.7
50,140.108,3474.28,0.819,12773.1
100,185.85,3067.11,0.8435,8583.72
150,226.998,2742.59,0.851,6448.31
200,262.885,2474.17,0.854,5137.81
250,294.056,2267.55,0.856,4320.31
300,321.208,2099.7,0.857,3749.27
400,347.007,1849.23,0.858,3019.1
500,370.535,1677.35,0.858,2586.39
600,391.669,1545.38,0.858,2285.46
700,410.393,1452.52,0.858,2088.03
800,426.977,1379.82,0.858,1941.03
1000,442.009,1269.06,0.858,1728.77
1200,455.334,1228.52,0.858,1654.41
