L,Cmps,QPS,Recall,QPS_no_filter
10,102.945,3098.14,0.739,7799.15
20,129.63,4168.05,0.8305,22043.4
50,174.317,3562.21,0.878,11605.1
100,225.286,2942.17,0.896,6880.93
150,270.491,2550.01,0.9005,5060.73
200,309.142,2272.68,0.904,4074.08
250,342.559,2054.46,0.9045,3422.43
300,371.233,1884.41,0.9055,2975.17
400,398.227,1616.26,0.906,2357.63
500,422.507,1447.27,0.906,2014.5
600,444.123,1362.21,0.906,1853.41
700,463.161,1277.69,0.906,1700.38
800,479.927,1208.17,0.906,1579.42
1000,495.025,1097.27,0.906,1395.09
1200,508.35,1057.94,0.906,1332.13
