L,Cmps,QPS,Recall,QPS_no_filter
10,51.3,1944.03,0.398,3869.68
20,68.005,2769.39,0.5675,9513.37
50,98.7317,2815.6,0.6895,10081.7
100,135.745,2929.56,0.7295,11713.2
150,170.306,2815.55,0.7385,10081.1
200,201.173,2649.85,0.743,8236.88
250,228.54,2507.53,0.7465,7001.59
300,252.956,2383.28,0.7485,6111.92
400,276.811,2206.34,0.75,5069.32
500,299.19,2070.73,0.7515,4406.34
600,319.528,1979.2,0.7515,4011.56
700,337.89,1903.37,0.7515,3711.81
800,354.395,1843.01,0.7515,3489
1000,369.64,1750.78,0.752,3172.59
1200,383.236,1706.82,0.752,3031.12
