L,Cmps,QPS,Recall,QPS_no_filter
10,116.375,7139.06,0.7885,29159.5
20,144.838,6382.23,0.859,19644.5
50,193.052,4857.89,0.907,9992.98
100,246.689,3626.08,0.916,5882.37
150,293.381,2960.19,0.919,4309.67
200,332.797,2511.27,0.9205,3419.69
250,366.209,2202.23,0.922,2871.05
300,394.768,1957.52,0.922,2468.7
400,421.314,1611.56,0.923,1942.75
500,445.034,1346.04,0.9235,1569.51
600,465.943,1224.19,0.9235,1406.29
700,484.239,1124.75,0.9235,1276.64
800,500.28,1072.48,0.9235,1209.72
1000,514.627,960.729,0.9235,1069.41
1200,527.246,929.965,0.9235,1031.43
