L,Cmps,QPS,Recall,QPS_no_filter
10,77.705,2937.37,0.6145,14343.2
20,100.58,2700.98,0.7605,10048.8
50,140.24,2775.08,0.841,11157
100,186.179,2246.28,0.862,5731.96
150,227.488,1960.36,0.8665,4177.28
200,263.115,1834.35,0.8715,3643.91
250,294.156,1800.58,0.8755,3513.02
300,321.243,1672.74,0.8755,3057.17
400,347.105,1641.36,0.8755,2953.94
500,370.642,1494.26,0.876,2509.38
600,391.78,1383.4,0.876,2211.72
700,410.573,1343.81,0.876,2112.24
800,427.246,1287.36,0.876,1976.03
1000,442.427,1197.67,0.876,1772.32
1200,455.902,1169.81,0.876,1711.97
