L,Cmps,QPS,Recall,QPS_no_filter
10,51.935,3972.91,0.394,9778.98
20,68.235,4157.49,0.5335,10978.7
50,97.8183,5187.44,0.6705,23079.2
100,133.993,4530.83,0.7,14032
150,167.496,4075.92,0.7115,10427.6
200,197.584,3754.12,0.7235,8552.12
250,224.286,3486.09,0.729,7277.48
300,248.026,3281.71,0.73,6440.19
400,271.251,2974.96,0.732,5356.33
500,293.127,2748.61,0.732,4664.72
600,312.946,2601.22,0.733,4255.5
700,330.778,2493.24,0.733,3973.93
800,346.762,2410.17,0.7335,3766.98
1000,361.466,2239.22,0.734,3365.42
1200,374.587,2138.06,0.734,3141.99
