L,Cmps,QPS,Recall,QPS_no_filter
10,90.34,5109.99,0.687,12568.3
20,116.957,5537.4,0.7655,15513.5
50,160.582,4242.86,0.831,8364.02
100,210.765,3484.32,0.847,5852.41
150,255.228,3294.73,0.85,5336.6
200,293.203,2869.03,0.8535,4302.56
250,325.865,2549.78,0.854,3622.4
300,353.913,2306.04,0.855,3149.47
400,380.398,1948.37,0.856,2518.13
500,404.286,1719.9,0.8565,2149.15
600,425.543,1549.58,0.8565,1889.62
700,444.266,1436.76,0.8565,1724.5
800,460.756,1347.88,0.8565,1598.02
1000,475.631,1211.39,0.8565,1409.71
1200,488.768,1163.04,0.8565,1344.66
