L,Cmps,QPS,Recall,QPS_no_filter
10,40.805,2006.6,0.325,3875.45
20,52.3875,2777.16,0.438,8350.03
50,74.245,2941.61,0.525,10037.1
100,101.789,2986.14,0.567,10575.3
150,128.005,2667.69,0.5785,7432.95
200,151.912,2713.11,0.5825,7796.61
250,173.486,3007.11,0.5885,10843
300,192.95,2886.05,0.5895,9418.42
400,212.566,2703.03,0.593,7713.95
500,231.276,2545.5,0.593,6556.11
600,248.637,2424.1,0.593,5807.03
700,264.535,2333.12,0.593,5310.96
800,279.011,2225.96,0.593,4786.41
1000,292.362,2145.25,0.593,4428.2
1200,304.292,2110.04,0.5935,4280.73
