L,Cmps,QPS,Recall,QPS_no_filter
10,72.455,2119.05,0.5575,3600.82
20,91.1025,2083.9,0.684,3500.49
50,125.492,2230.13,0.769,3933.77
100,166.38,2972.87,0.7945,7033.29
150,204.058,3207.81,0.8035,8507.37
200,237.4,2965.95,0.8075,6994.7
250,266.719,2776.63,0.811,6025.74
300,292.56,2612.06,0.811,5300.96
400,317.586,2360,0.812,4356.63
500,340.776,2175.15,0.814,3765.84
600,361.754,2030.44,0.814,3352.21
700,380.507,1922.74,0.8145,3068.47
800,397.242,1840.4,0.8145,2863.97
1000,412.599,1711.71,0.8145,2564
1200,426.234,1654.71,0.8145,2438.19
