====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        7799.15        3098.14        102.945    0.739
20        22043.4        4168.05        129.63    0.8305
50        11605.1        3562.21        174.317    0.878
100        6880.93        2942.17        225.286    0.896
150        5060.73        2550.01        270.491    0.9005
200        4074.08        2272.68        309.142    0.904
250        3422.43        2054.46        342.559    0.9045
300        2975.17        1884.41        371.233    0.9055
400        2357.63        1616.26        398.227    0.906
500        2014.5        1447.27        422.507    0.906
600        1853.41        1362.21        444.123    0.906
700        1700.38        1277.69        463.161    0.906
800        1579.42        1208.17        479.927    0.906
1000        1395.09        1097.27        495.025    0.906
1200        1332.13        1057.94        508.35    0.906
