L,Cmps,QPS,Recall,QPS_no_filter
10,76.535,2183.65,0.6265,4089.23
20,98.385,1967.44,0.7545,3391.32
50,137.038,2846.9,0.824,7254.01
100,182.48,3066.31,0.8455,8871.58
150,223.449,2739.8,0.852,6596.94
200,259.028,2492.93,0.8535,5326.81
250,289.924,2311.55,0.855,4561.93
300,316.841,2159.41,0.8555,4005.05
400,342.482,1916.77,0.856,3243.54
500,365.875,1743.45,0.856,2776.47
600,386.915,1622.54,0.856,2481.92
700,405.601,1532.22,0.856,2276.64
800,422.187,1468.44,0.856,2138.63
1000,437.255,1380.31,0.856,1956.68
1200,450.611,1335.97,0.856,1868.76
