L,Cmps,QPS,Recall,QPS_no_filter
10,108.63,11312.7,0.7565,27785.1
20,137.45,9700.62,0.8465,19731.4
50,185.793,6515.73,0.8845,9894.21
100,239.614,4515.66,0.902,5915.55
150,286.263,3531.32,0.905,4333.23
200,325.487,2936.25,0.906,3470.24
250,358.798,2529.4,0.907,2915.92
300,387.339,2218.91,0.908,2510.89
400,413.752,1802.61,0.9095,1990.67
500,437.324,1531.87,0.91,1665.58
600,458.111,1343.37,0.91,1445.11
700,476.312,1227.89,0.91,1312.34
800,492.27,1146.58,0.91,1219.88
1000,506.564,896.595,0.91,940.8
1200,519.134,994.081,0.91,1048.71
