L,Cmps,QPS,Recall,QPS_no_filter
10,36.07,1606.41,0.2685,3079.96
20,46.795,1574.06,0.3885,2963.19
50,67.1567,2632.99,0.504,12199.5
100,92.5263,2648.37,0.534,12536.8
150,116.407,2463.81,0.5465,9254.97
200,138.351,2669.69,0.5525,13029.4
250,158.124,2584.65,0.556,11226.6
300,175.909,2501.22,0.558,9805.85
400,193.869,2366.33,0.559,8014.8
500,210.947,2246.08,0.559,6784.48
600,226.759,2154.05,0.559,6009.03
700,241.193,2077.06,0.559,5445.87
800,254.3,2008.07,0.559,4995.87
1000,266.432,1949.83,0.559,4650.31
1200,277.313,1934.16,0.5595,4562.15
