L,Cmps,QPS,Recall,QPS_no_filter
10,44.115,3243.75,0.3695,14252
20,57.3075,3302.08,0.497,15451.2
50,81.9817,2917.84,0.59,9560.21
100,112.379,2603.67,0.6245,6851.48
150,141.14,3070.37,0.6375,11418.8
200,167.251,2973.05,0.6425,10179.6
250,190.411,2837.21,0.645,8745.88
300,211.139,2711.79,0.647,7654.61
400,231.958,2502.32,0.647,6191.59
500,251.596,2350.7,0.647,5339.46
600,269.714,2228.14,0.647,4746.43
700,286.197,2125.78,0.647,4304.85
800,301.119,2040.27,0.647,3968.08
1000,314.897,1871.49,0.6475,3375.93
1200,327.157,1839.01,0.6475,3271.71
