L,Cmps,QPS,Recall,QPS_no_filter
10,87.79,12342.7,0.687,33613.6
20,113.903,10679.2,0.785,23601.3
50,157.25,7469.69,0.852,12105.8
100,206.412,5260.4,0.87,7203.06
150,250.283,4162.5,0.872,5291.83
200,287.697,3490.83,0.874,4251.79
250,319.887,3040.4,0.875,3601.85
300,347.588,2212.56,0.876,2495.67
400,373.612,2213.35,0.877,2496.66
500,397.059,1912.05,0.8775,2119.86
600,417.96,1698.51,0.8775,1860.53
700,436.33,1559.21,0.8775,1694.69
800,452.503,1457.17,0.8775,1574.82
1000,467.048,1299.96,0.8775,1392.79
1200,479.895,1252.17,0.8775,1338.07
