====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        10674.2        3033.94        50.51    0.415
20        20154.7        3502.18        64.1875    0.5385
50        12542.4        3168.07        90.1567    0.6345
100        8017.63        2772.81        122.751    0.6655
150        8014.41        2772.42        153.799    0.6745
200        6462.02        2559.7        181.807    0.6805
250        5274.1        2350.03        206.712    0.6835
300        4768.39        2243.99        229.018    0.6865
400        5192.77        2333.75        251.383    0.688
500        5347.15        2364.43        272.46    0.688
600        4760.44        2242.23        291.809    0.688
700        4353.4        2147.65        309.36    0.688
800        4065.37        2075.12        325.18    0.688
1000        3663.34        1965.04        339.734    0.6885
1200        3520.76        1923.26        352.683    0.689
