====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        29159.5        7139.06        116.375    0.7885
20        19644.5        6382.23        144.838    0.859
50        9992.98        4857.89        193.052    0.907
100        5882.37        3626.08        246.689    0.916
150        4309.67        2960.19        293.381    0.919
200        3419.69        2511.27        332.797    0.9205
250        2871.05        2202.23        366.209    0.922
300        2468.7        1957.52        394.768    0.922
400        1942.75        1611.56        421.314    0.923
500        1569.51        1346.04        445.034    0.9235
600        1406.29        1224.19        465.943    0.9235
700        1276.64        1124.75        484.239    0.9235
800        1209.72        1072.48        500.28    0.9235
1000        1069.41        960.729        514.627    0.9235
1200        1031.43        929.965        527.246    0.9235
