L,Cmps,QPS,Recall,QPS_no_filter
10,51.725,5089.96,0.3775,20403.8
20,66.305,5181.9,0.5145,21966
50,94.2367,5268.7,0.613,23615.2
100,128.151,4646.53,0.655,14758
150,159.57,4256.15,0.6675,11428.6
200,187.708,3942.83,0.67,9418.84
250,212.509,3695.7,0.672,8121.49
300,234.523,3465.91,0.6745,7088.68
400,256.076,3131.76,0.675,5818.88
500,276.232,2874.02,0.6765,4987.79
600,294.551,2686.4,0.6765,4448.59
700,311.049,2547.03,0.677,4078.97
800,325.892,2433.03,0.677,3794.27
1000,339.636,2264.26,0.677,3399.16
1200,351.91,2221.61,0.677,3303.93
