L,Cmps,QPS,Recall,QPS_no_filter
10,58.73,5467.17,0.4735,13059
20,75.9675,7525.31,0.611,37664.4
50,107.587,6406.16,0.6805,20094.4
100,145.546,5268.56,0.717,11980.3
150,180.179,4602.8,0.7225,9015.16
200,211.212,4123.04,0.7275,7341.88
250,238.369,3765.07,0.73,6278.85
300,262.275,3473.01,0.732,5506.61
400,285.637,3045.11,0.733,4503.27
500,307.392,2748.89,0.734,3884.26
600,327.106,2565.16,0.734,3527.28
700,344.828,2431.64,0.734,3279.66
800,360.669,2308.32,0.734,3059.22
1000,375.244,2116.63,0.7345,2731.39
1200,388.207,1949.64,0.7345,2459.54
