L,Cmps,QPS,Recall,QPS_no_filter
10,104.735,5275.66,0.7505,11408.4
20,133.373,5365.52,0.8435,11837.1
50,180.832,3975.76,0.889,6683.19
100,233.976,2804.61,0.899,3926.79
150,279.869,2512.12,0.904,3376.38
200,318.445,2591.11,0.905,3520.63
250,351.156,2279.43,0.9055,2969.03
300,379.168,2025.27,0.9065,2551.9
400,405.044,1685.97,0.9065,2035.68
500,428.142,1462.16,0.907,1718.14
600,448.55,1331.39,0.907,1540.36
700,466.41,1254.04,0.907,1437.75
800,482.068,1177.54,0.907,1338.09
1000,496.045,1064.07,0.907,1193.47
1200,508.35,1027.22,0.907,1147.31
