L,Cmps,QPS,Recall,QPS_no_filter
10,59.56,4203.09,0.4845,47812
20,77.01,4094.16,0.6125,36703.6
50,109.157,3718.09,0.691,19249.2
100,146.727,3319.6,0.7185,11871.5
150,181.348,3028.65,0.7245,8835.88
200,212.099,2831.98,0.7295,7347.28
250,239.265,2642.15,0.7315,6192.91
300,263.187,2489.23,0.735,5413.44
400,286.523,2254.79,0.735,4415.1
500,308.178,2078.59,0.735,3786.58
600,327.772,1956.91,0.735,3401.31
700,345.305,1854.15,0.735,3102.46
800,360.931,1780.39,0.735,2901.32
1000,375.299,1658.93,0.7355,2592.05
1200,388.062,1621.15,0.7355,2501
