====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        3855.57        2232.44        86.87    0.624
20        3621.74        2152        108.468    0.7345
50        7739.07        3146.74        146.177    0.8135
100        8752.36        3302.19        190.706    0.836
150        3960.38        2267.19        230.994    0.843
200        5282.07        2646.24        265.976    0.8455
250        4553.43        2449.84        296.52    0.8455
300        3953.81        2265.03        322.998    0.846
400        3166.76        1982.73        348.329    0.846
500        2686.73        1783.25        371.442    0.846
600        2368.99        1637.48        392.131    0.846
700        2150.7        1530.13        410.476    0.846
800        2002.96        1453.84        426.797    0.846
1000        1789.76        1338.13        441.688    0.846
1200        1738.02        1309        454.877    0.846
