L,Cmps,QPS,Recall,QPS_no_filter
10,107.99,8055.05,0.7705,27831.2
20,135.57,7168.46,0.86,19498.9
50,183.38,5292.96,0.9045,9928.99
100,236.873,3864.36,0.913,5863.04
150,282.961,3131.66,0.9165,4327.04
200,321.802,2635.99,0.9195,3434.66
250,354.762,2284.28,0.9215,2860.74
300,382.953,1968.6,0.9225,2382.32
400,408.991,1637.38,0.923,1913.82
500,432.221,1463.63,0.9235,1680.62
600,452.706,1297.55,0.9235,1465.27
700,470.602,1193.62,0.9235,1334.09
800,486.274,1117.44,0.9235,1239.64
1000,500.28,1008.41,0.9235,1106.87
1200,512.589,967.534,0.9235,1057.82
