====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        3600.82        2119.05        72.455    0.5575
20        3500.49        2083.9        91.1025    0.684
50        3933.77        2230.13        125.492    0.769
100        7033.29        2972.87        166.38    0.7945
150        8507.37        3207.81        204.058    0.8035
200        6994.7        2965.95        237.4    0.8075
250        6025.74        2776.63        266.719    0.811
300        5300.96        2612.06        292.56    0.811
400        4356.63        2360        317.586    0.812
500        3765.84        2175.15        340.776    0.814
600        3352.21        2030.44        361.754    0.814
700        3068.47        1922.74        380.507    0.8145
800        2863.97        1840.4        397.242    0.8145
1000        2564        1711.71        412.599    0.8145
1200        2438.19        1654.71        426.234    0.8145
