L,Cmps,QPS,Recall,QPS_no_filter
10,77.755,6615.73,0.5815,13762.6
20,98.6475,5645.4,0.707,10137.8
50,136.298,5154.77,0.7765,8657.96
100,181.11,4029.25,0.804,5893.07
150,221.134,3470.18,0.8085,4769.29
200,255.789,2872.33,0.81,3708.44
250,285.982,3193.82,0.811,4262.4
300,312.295,3133.92,0.812,4156.38
400,337.653,2673.52,0.813,3383.58
500,360.818,2337.08,0.813,2862.14
600,381.641,2104.42,0.813,2520.83
700,400.188,1961.44,0.813,2318.38
800,416.67,1848.19,0.813,2161.81
1000,431.688,1675.31,0.813,1928.97
1200,445,1626.12,0.813,1864.05
