L,Cmps,QPS,Recall,QPS_no_filter
10,46.825,4052.66,0.383,12567.4
20,60.75,5309.55,0.515,47259.8
50,85.7033,4868.07,0.6165,26150.7
100,117.02,4292.93,0.649,15206.7
150,146.87,3883.7,0.6625,11073.5
200,174.243,3580.64,0.6675,8920.63
250,198.606,3342.23,0.67,7574.57
300,220.434,3119.88,0.6725,6521.25
400,242.056,2831.62,0.6735,5377.07
500,262.3,2781.18,0.674,5198.05
600,280.931,2615.74,0.6745,4648.56
700,297.798,2504.44,0.6745,4308.3
800,313.04,2408.27,0.6745,4031.36
1000,327.058,2251.36,0.6745,3610.18
1200,339.508,2173.99,0.675,3415.25
