L,Cmps,QPS,Recall,QPS_no_filter
10,71.115,1834.26,0.5595,3336.66
20,91.63,2774.89,0.6735,8703.59
50,128,2776.51,0.7445,8719.51
100,170.553,2438.14,0.7695,6072.76
150,208.735,2104.31,0.776,4352.83
200,241.802,2139.2,0.7815,4504.82
250,270.831,2260.53,0.7825,5078.83
300,296.031,2122.76,0.783,4432.53
400,320.149,1902.89,0.783,3570.97
500,342.202,1737.43,0.783,3029.53
600,362.051,1613.18,0.783,2670.83
700,379.635,1534.5,0.783,2461.84
800,395.259,1473.98,0.783,2309.71
1000,409.498,1377.49,0.783,2081.26
1200,422.116,1330.45,0.783,1975.72
