M,M_beta,gamma,scenario,build_time_s,qps,qps_no_filter,recall@10,index_size_mb,status,timestamp
48,96,12,and,244.42,1620.61,2223.43,0.8100,481.6,success,2025-12-06T21:28:35.943112
48,96,24,equal,417.79,1894.13,2947.77,0.8760,487.9,success,2025-12-06T21:35:35.667816
48,96,24,or,417.79,1485.59,1787.10,0.9990,487.9,success,2025-12-06T21:35:39.114680
48,96,24,and,417.79,1987.77,2440.63,0.8070,487.9,success,2025-12-06T21:35:41.155964
64,64,4,equal,161.61,3613.43,5014.53,0.7340,473.3,success,2025-12-06T21:38:26.142330
64,64,4,or,161.61,400.22,466.90,0.9995,473.3,success,2025-12-06T21:38:30.213974
64,64,4,and,161.61,1996.37,2644.10,0.7695,473.3,success,2025-12-06T21:38:32.213090
64,64,8,equal,235.16,2122.76,4432.53,0.7830,475.4,success,2025-12-06T21:42:29.197735
64,64,8,or,235.16,963.51,1090.14,0.9995,475.4,success,2025-12-06T21:42:33.137298
64,64,8,and,235.16,2126.44,2608.21,0.7990,475.4,success,2025-12-06T21:42:35.165976
64,64,12,equal,302.93,2673.52,3383.58,0.8130,477.5,success,2025-12-06T21:47:39.885517
64,64,12,or,302.93,601.23,656.81,0.9995,477.5,success,2025-12-06T21:47:43.818712
64,64,12,and,302.93,2314.07,3680.73,0.7895,477.5,success,2025-12-06T21:47:45.768142
64,64,24,equal,435.78,2265.03,3953.81,0.8460,483.7,success,2025-12-06T21:55:03.478122
64,64,24,or,435.78,977.36,1083.11,1.0000,483.7,success,2025-12-06T21:55:07.325252
64,64,24,and,435.78,2233.19,2682.05,0.8030,483.7,success,2025-12-06T21:55:09.330696
64,96,4,equal,177.55,1912.05,2119.86,0.8775,489.5,success,2025-12-06T21:58:08.865736
64,96,4,or,177.55,642.83,727.63,1.0000,489.5,success,2025-12-06T21:58:12.668801
64,96,4,and,177.55,1998.54,2233.09,0.8425,489.5,success,2025-12-06T21:58:14.930319
64,96,8,equal,248.14,1719.90,2149.15,0.8565,491.6,success,2025-12-06T22:02:25.092016
64,96,8,or,248.14,863.82,935.53,0.9995,491.6,success,2025-12-06T22:02:28.890618
64,96,8,and,248.14,1959.09,2205.51,0.8180,491.6,success,2025-12-06T22:02:31.141530
64,96,12,equal,310.60,1979.49,2430.49,0.8835,493.7,success,2025-12-06T22:07:43.843907
64,96,12,or,310.60,1286.16,1450.60,0.9995,493.7,success,2025-12-06T22:07:47.642281
64,96,12,and,310.60,2165.63,2813.14,0.8455,493.7,success,2025-12-06T22:07:49.938072
64,96,24,equal,484.11,1616.26,2357.63,0.9060,499.9,success,2025-12-06T22:15:56.129474
64,96,24,or,484.11,972.08,1100.66,0.9995,499.9,success,2025-12-06T22:16:00.050242
64,96,24,and,484.11,1394.96,1674.58,0.8520,499.9,success,2025-12-06T22:16:02.319247
64,128,4,equal,191.98,1462.16,1718.14,0.9070,505.7,success,2025-12-06T22:19:16.620543
64,128,4,or,191.98,1078.02,1154.51,1.0000,505.7,success,2025-12-06T22:19:20.474933
64,128,4,and,191.98,1758.32,1916.92,0.8130,505.7,success,2025-12-06T22:19:22.933979
64,128,8,equal,264.89,1463.63,1680.62,0.9235,507.8,success,2025-12-06T22:23:50.176777
64,128,8,or,264.89,966.97,1123.98,1.0000,507.8,success,2025-12-06T22:23:53.924982
64,128,8,and,264.89,2183.67,2758.51,0.8530,507.8,success,2025-12-06T22:23:56.413797
64,128,12,equal,324.15,1531.87,1665.58,0.9100,509.9,success,2025-12-06T22:29:22.896136
64,128,12,or,324.15,664.28,692.37,1.0000,509.9,success,2025-12-06T22:29:26.682368
64,128,12,and,324.15,2631.02,3323.52,0.8085,509.9,success,2025-12-06T22:29:29.063567
64,128,24,equal,446.54,1346.04,1569.51,0.9235,516.1,success,2025-12-06T22:36:57.975754
64,128,24,or,446.54,986.90,1133.96,1.0000,516.1,success,2025-12-06T22:37:01.797894
64,128,24,and,446.54,1598.15,1907.92,0.8610,516.1,success,2025-12-06T22:37:04.280150
